"Application_ID","Application_Name","Team","Email_Distros","Individual_Contacts","Notes"
"APP-0001","AI Ops Data Integration","AI Ops Team","aiops-team@company.com; aiops-support@company.com","",""
"APP-0002","AI Ops Design Consultation","AI Ops Team","aiops-team@company.com; aiops-support@company.com","",""
"APP-0003","AI Ops Incident Automation","AI Ops Team","aiops-team@company.com; aiops-support@company.com","","Priority: High - 24/7 support available"
"APP-0004","AI Ops Performance Analytics","AI Ops Team","aiops-team@company.com; aiops-support@company.com","",""
"APP-0005","AI Ops Platform Setup and Configuration","AI Ops Team","aiops-team@company.com; aiops-support@company.com","",""
"APP-0006","Client Endpoint Consultation","End-User Services Team","enduser-services@company.com; desktop-support@company.com","",""
"APP-0007","Client File Share Access Configuration","End-User Services Team","enduser-services@company.com; desktop-support@company.com","",""
"APP-0008","Client Software Deployment","End-User Services Team","enduser-services@company.com; desktop-support@company.com","",""
"APP-0009","Client VPN Setup and Configuration","End-User Services Team","enduser-services@company.com; desktop-support@company.com","john.miller@company.com","VPN Lead: John Miller"
"APP-0010","Client VPN Troubleshooting","End-User Services Team","enduser-services@company.com; desktop-support@company.com","",""
"APP-0011","Database Backup and Recovery Configuration","Database Services Team","dba-team@company.com; database-ops@company.com","",""
"APP-0012","Database Migration Service","Database Services Team","dba-team@company.com; database-ops@company.com","","Requires 2-week advance notice"
"APP-0013","Database Performance Consultation","Database Services Team","dba-team@company.com; database-ops@company.com","",""
"APP-0014","Database Security Audit","Database Services Team","dba-team@company.com; database-ops@company.com","sarah.chen@company.com","Security Specialist: Sarah Chen"
"APP-0015","Database Setup and Configuration","Database Services Team","dba-team@company.com; database-ops@company.com","",""
"APP-0016","Enterprise File Share Recovery","Data Storage Team","storage-team@company.com; storage-ops@company.com","",""
"APP-0017","Network Firewall Configuration Change","Network Firewall Team","firewall-team@company.com; firewall-ops@company.com","",""
"APP-0018","Network Firewall Incident Response","Network Firewall Team","firewall-team@company.com; firewall-ops@company.com","","24/7 emergency response available"
"APP-0019","Network Firewall Performance Tuning","Network Firewall Team","firewall-team@company.com; firewall-ops@company.com","",""
"APP-0020","Network Firewall Rule Add-Modify-Delete","Network Firewall Team","firewall-team@company.com; firewall-ops@company.com","",""
"APP-0021","Network Firewall Rule Audit","Network Firewall Team","firewall-team@company.com; firewall-ops@company.com","",""
"APP-0022","Network Monitoring","Network Analysis Team","network-analysis@company.com; netops-analysis@company.com","",""
"APP-0023","Network Packet Capture and Analysis","Network Analysis Team","network-analysis@company.com; netops-analysis@company.com","",""
"APP-0024","Network Performance Troubleshooting","Network Analysis Team","network-analysis@company.com; netops-analysis@company.com","",""
"APP-0025","Network TAP Configuration Change","Network Analysis Team","network-analysis@company.com; netops-analysis@company.com","michael.rodriguez@company.com",""
"APP-0026","Network TAP Consultation","Network Analysis Team","network-analysis@company.com; netops-analysis@company.com","",""
"APP-0027","OS Server Support","Virtualization Team","virtualization-team@company.com; vmware-ops@company.com","",""
"APP-0028","Proxy Access Policy Configuration","Network Security Team","netsec-team@company.com; proxy-ops@company.com","",""
"APP-0029","Proxy Performance Monitoring","Network Security Team","netsec-team@company.com; proxy-ops@company.com","",""
"APP-0030","Proxy Security Audit","Network Security Team","netsec-team@company.com; proxy-ops@company.com","",""
"APP-0031","Proxy Server Setup and Configuration","Network Security Team","netsec-team@company.com; proxy-ops@company.com","",""
"APP-0032","Proxy zScaler Capacity Planning","Network Security Team","netsec-team@company.com; proxy-ops@company.com","","Quarterly capacity reviews recommended"
"APP-0033","Splunk Alerting and Monitoring Setup","Log Management Team","splunk-team@company.com; log-management@company.com","",""
"APP-0034","Splunk Dashboard and Report Development","Log Management Team","splunk-team@company.com; log-management@company.com","",""
"APP-0035","Splunk Data Ingestion Setup","Log Management Team","splunk-team@company.com; log-management@company.com","",""
"APP-0036","Splunk Data Retention Policy Setup","Log Management Team","splunk-team@company.com; log-management@company.com","lisa.patel@company.com","Compliance Lead: Lisa Patel"
"APP-0037","Splunk Index Creation and Management","Log Management Team","splunk-team@company.com; log-management@company.com","",""
